Nama File	Clean	Dirty	Food	Water	Time
../../test_image/food/3/343.jpeg	1.9857987e-05	2.3306538e-05	0.99995625	6.10234e-07	1.801s
../../test_image/food/3/7869.jpeg	3.5667038e-06	2.4552248e-06	0.9999584	3.554844e-05	1.789s
../../test_image/food/3/0909.jpg	0.004538916	0.00015967958	0.7144747	0.28082672	1.801s
../../test_image/food/3/454.jpeg	0.0010851197	0.0006355671	0.99638027	0.001899027	1.800s
../../test_image/food/3/78.jpeg	2.4476625e-08	2.3203627e-05	0.9999311	4.559465e-05	1.784s
../../test_image/food/3/70.jpeg	4.8439256e-07	0.00013088855	0.99901986	0.00084876234	1.788s
../../test_image/food/3/748d25cd7ee1635461be6704d1be7132862facbc_607x400.jpg	0.039602965	5.6016073e-05	0.9601486	0.00019241971	1.790s
../../test_image/food/3/897.jpeg	0.36788392	0.064631395	0.017713398	0.5497713	1.789s
../../test_image/food/3/2598-1068168-tips_bersihkan_lantai_dari_tumpahan_saat_memasak.png	0.9237836	0.00012163837	0.07571543	0.00037934477	1.793s
../../test_image/food/3/2q==-12.jpeg	0.026828269	0.96995294	0.0022194078	0.0009994382	1.784s
../../test_image/water/3/fb_img_1509259312368.jpg	0.12739259	0.020835932	1.33625335e-05	0.85175806	1.785s
../../test_image/water/3/images2.jpeg	7.5960506e-06	0.16262242	0.42065662	0.4167134	1.793s
../../test_image/water/3/24175678_311120616070483_5975982453016231936_n.jpg	0.00067695836	0.0032547128	1.4938982e-05	0.99605334	1.798s
../../test_image/water/3/images.jpeg	9.0828435e-05	0.14742789	0.0060705952	0.8464108	1.775s
../../test_image/water/3/auto_paint_black_run_off_raindrop_rain_wet_shine-1251309.jpg!d.jpeg	2.631074e-06	4.2728567e-05	0.00019163867	0.99976295	1.802s
../../test_image/water/3/images1.jpeg	0.0018068161	0.45776317	0.0016099714	0.53882	1.782s
../../test_image/water/3/images7.jpeg	0.6972063	0.16598019	0.00074268726	0.1360708	1.791s
../../test_image/water/3/2q==-29.jpeg	1.1315625e-05	0.00025056317	1.2514157e-06	0.99973685	1.796s
../../test_image/water/3/images34.jpeg	7.615455e-05	0.031899378	0.7183799	0.24964452	1.792s
../../test_image/water/3/489168878.jpg	2.6898324e-06	0.31084248	0.15326363	0.5358912	1.794s
../../test_image/clean/3/images-660.jpeg	0.5276209	0.46928167	0.00025857356	0.0028389585	1.790s
../../test_image/clean/3/images-677.jpeg	0.79733694	0.20059693	4.268811e-06	0.0020619044	1.779s
../../test_image/clean/3/images-693.jpeg	0.9764657	0.008133839	0.00074596424	0.014654459	1.788s
../../test_image/clean/3/images-673.jpeg	0.9999993	6.0715047e-07	5.5728787e-08	7.3003875e-08	1.794s
../../test_image/clean/3/images-667.jpeg	0.12971763	0.8575514	0.007914585	0.0048163487	1.786s
../../test_image/clean/3/images-684.jpeg	0.0006476774	0.0017232652	0.00013303464	0.99749595	1.788s
../../test_image/clean/3/images-671.jpeg	0.9991906	0.00015739213	0.0005917601	6.0222792e-05	1.822s
../../test_image/clean/3/images-689.jpeg	0.99902153	0.00094804086	2.848069e-05	1.9325576e-06	1.808s
../../test_image/clean/3/images-692.jpeg	0.9999565	1.4845204e-05	1.7762672e-05	1.0875037e-05	1.806s
../../test_image/clean/3/images-672.jpeg	0.84999204	0.039818496	0.00076927844	0.10942023	1.818s
../../test_image/dirty/3/images-294.jpeg	0.0038891248	0.7639785	0.22157227	0.010560195	1.798s
../../test_image/dirty/3/images-298.jpeg	0.00033573422	0.8651808	0.00024567387	0.13423775	1.817s
../../test_image/dirty/3/images-295.jpeg	0.18623224	0.81370485	2.4036176e-06	6.049882e-05	1.825s
../../test_image/dirty/3/images-299.jpeg	1.3521054e-05	0.9886354	2.9019873e-05	0.011322066	1.818s
../../test_image/dirty/3/2q==-3.jpeg	0.9131189	0.05390994	0.008043853	0.0249273	1.790s
../../test_image/dirty/3/images-302.jpeg	0.002602299	0.044822894	0.9519905	0.0005843826	1.793s
../../test_image/dirty/3/images-303.jpeg	0.32827336	0.037169978	0.0012494766	0.6333072	1.794s
../../test_image/dirty/3/images-300.jpeg	0.19073796	0.8091615	9.8390214e-05	2.1605701e-06	1.816s
../../test_image/dirty/3/images-297.jpeg	3.669399e-06	0.75109494	0.24888876	1.2667185e-05	1.800s
../../test_image/dirty/3/images-301.jpeg	0.99439865	0.0048466744	0.0007543534	3.2252402e-07	1.782s
